state,classification
NV,Gunshot
NV,Gunshot
NV,Gunshot
NV,Gunshot
NV,Gunshot
NV,Gunshot
NV,Gunshot
NV,Gunshot
NV,Gunshot
NV,Gunshot
NV,Gunshot
NV,Death in custody
NV,Gunshot
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Death in custody
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Struck by vehicle
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Gunshot
NY,Taser
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OH,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Struck by vehicle
OK,Death in custody
OK,Death in custody
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Taser
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Death in custody
OK,Gunshot
OK,Gunshot
OK,Gunshot
OK,Death in custody
OR,Gunshot
OR,Gunshot
OR,Gunshot
OR,Gunshot
OR,Gunshot
OR,Gunshot
OR,Gunshot
OR,Gunshot
OR,Gunshot
OR,Gunshot
OR,Struck by vehicle
OR,Struck by vehicle
OR,Gunshot
OR,Gunshot
OR,Gunshot
OR,Gunshot
OR,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Gunshot
PA,Death in custody
RI,Gunshot
RI,Gunshot
SC,Gunshot
SC,Gunshot
SC,Gunshot
SC,Gunshot
SC,Gunshot
SC,Gunshot
SC,Gunshot
SC,Gunshot
SC,Gunshot
SC,Gunshot
SC,Gunshot
SC,Gunshot
SC,Gunshot
SC,Gunshot
SC,Gunshot
SC,Death in custody
SC,Gunshot
SC,Gunshot
SD,Gunshot
SD,Gunshot
SD,Gunshot
SD,Gunshot
SD,Gunshot
SD,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Death in custody
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TN,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Death in custody
TX,Struck by vehicle
TX,Taser
TX,Taser
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Other
TX,Gunshot
TX,Struck by vehicle
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Death in custody
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Gunshot
TX,Death in custody
TX,Gunshot
UT,Gunshot
UT,Gunshot
UT,Gunshot
UT,Gunshot
UT,Gunshot
UT,Gunshot
UT,Gunshot
UT,Gunshot
VA,Gunshot
VA,Gunshot
VA,Gunshot
VA,Gunshot
VA,Gunshot
VA,Gunshot
VA,Gunshot
VA,Gunshot
VA,Gunshot
VA,Gunshot
VA,Gunshot
VA,Death in custody
VA,Gunshot
VA,Gunshot
VA,Gunshot
VA,Gunshot
VA,Gunshot
VA,Gunshot
VA,Gunshot
VT,Gunshot
VT,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Gunshot
WA,Death in custody
WA,Gunshot
WA,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Gunshot
WI,Death in custody
WV,Gunshot
WV,Gunshot
WV,Gunshot
WV,Gunshot
WV,Gunshot
WV,Gunshot
WV,Gunshot
WV,Gunshot
WV,Gunshot
WV,Gunshot
WV,Gunshot
WV,Gunshot
WV,Gunshot
WY,Gunshot
WY,Gunshot
